,moon_x,moon_y
246,-345413.8555945907,168308.06540450262
247,-345522.69113063806,168120.39259900662
248,-345631.4005052747,167932.65812215194
249,-345739.98367043765,167744.86203697458
250,-345848.4405780802,167557.00440659327
251,-345956.771180239,167369.08529412712
252,-346064.9754289339,167181.1047626615
253,-346173.0532762515,166993.06287546514
254,-346281.00467431144,166804.95969569002
255,-346388.82957526646,166616.79528652158
256,-346496.52793125296,166428.56971127808
257,-346604.0996944905,166240.28303319484
258,-346711.5448171983,166051.93531562327
259,-346818.8632516125,165863.52662189843
260,-346926.0549501186,165675.05701535515
261,-347033.1198649528,165486.5265594115
262,-347140.0579485338,165297.9353174689
263,-347246.86915316427,165109.28335304497
264,-347353.55343137926,164920.570729508
265,-347460.1107355313,164731.79751045868
266,-347566.5410181389,164542.96375939826
267,-347672.8442317042,164354.06953991082
268,-347779.02032882866,164165.1149155474
269,-347885.06926196464,163976.09994994194
270,-347990.9909838466,163787.02470672855
271,-348096.78544704313,163597.88924967425
272,-348202.45260422246,163408.69364232992
273,-348307.99240815226,163219.4379485124
274,-348413.40481148456,163030.12223198876
275,-348518.6897670036,162840.7465565093
276,-348623.8472275271,162651.3109859241
277,-348728.8771459063,162461.8155840334
278,-348833.77947492566,162272.2604147371
279,-348938.5541675193,162082.64554190193
280,-349043.20117660495,161892.97102949422
281,-349147.7204551496,161703.2369414638
282,-349252.11195607117,161513.4433417438
283,-349356.37563245307,161323.59029440035
284,-349460.51143739594,161133.6778634164
285,-349564.51932383387,160943.70611290802
286,-349668.3992449668,160753.67510695776
287,-349772.151153945,160563.58490964846
288,-349875.77500391874,160373.43558514584
289,-349979.27074808825,160183.22719766563
290,-350082.63833970326,159992.95981137358
291,-350185.8777320306,159802.633490502
292,-350288.9888784031,159612.24829933292
293,-350391.97173208743,159421.80430209875
294,-350494.8262465163,159231.30156316463
295,-350597.55237502296,159040.74014689575
296,-350700.15007110673,158850.12011762412
297,-350802.619288167,158659.4415397315
298,-350904.95997973636,158468.7044776995
299,-351007.17209931405,158277.90899595976
300,-351109.2556004658,158087.05515897722
301,-351211.21043679083,157896.14303128317
302,-351313.03656188806,157705.1726773925
303,-351414.73392942286,157514.14416188636
304,-351516.30249309423,157323.05754939586
305,-351617.7422066007,157131.91290445245
306,-351719.0530237076,156940.71029180332
307,-351820.2348981803,156749.44977602997
308,-351921.2877838336,156558.1314219626
309,-352022.21163451613,156366.75529421598
310,-352123.0064040928,156175.32145758718
311,-352223.67204647826,155983.82997690677
312,-352324.2085156541,155792.2809169387
313,-352424.6157655515,155600.67434253002
314,-352524.89375020185,155409.01031859452
315,-352625.04242361966,155217.28891001234
316,-352725.06173983624,155025.51018169717
317,-352824.95165306545,154833.67419862896
318,-352924.71211733844,154641.78102577117
319,-353024.3430869193,154449.8307281205
320,-353123.84451590554,154257.82337074005
321,-353223.21635859454,154065.75901872612
322,-353322.4585692663,153873.63773712527
323,-353421.5711021521,153681.45959105054
324,-353520.5539115985,153489.22464569795
325,-353619.40695205244,153296.93296621364
326,-353718.13017782767,153104.58461782697
